,Column,Before Value,After Value
0,4,-0.10222041017695967,-0.10222041017695967
1,79,0.0,0.0
2,2,-0.09350223609008587,-0.09350223609008587
3,323,0.0,0.0
4,325,0.0,1.0
5,197,0.0,0.0
6,323,0.0,0.0
7,444,0.0,0.0
8,362,0.0,0.0
9,5,1.2033097170935136,-0.08758603833513649
10,5,-0.2779619805990042,0.26526514634494947
11,2,-0.09350223609008587,-0.09350223609008587
12,2,-0.09350223609008587,-0.09350223609008587
13,4,0.05596638831414591,-0.10222041017695967
14,0,0.21877235545332743,1.6618430214603928
15,225,0.0,0.0
16,5,-0.37455750947908667,-0.9805086155060311
17,7,0.09382942770245944,1.1582797424509792
18,0,0.6246359802678145,0.7148278968932561
19,5,2.7937297540464026,0.2724682354618111
20,5,-0.7299533181309152,1.4195526636685591
21,4,-0.10222041017695967,0.382545585199009
22,4,-0.10222041017695967,0.10189158787607978
23,323,0.0,0.0
24,0,1.3461713132713473,-0.09689935273571812
25,295,0.0,0.0
26,5,0.04082730839634014,-0.7953421396410065
27,406,0.0,0.0
28,323,0.0,0.0
29,323,0.0,0.0
30,206,0.0,0.0
31,4,-0.10222041017695967,-0.10222041017695967
32,205,0.0,0.0
33,5,-0.9696488817053663,-0.550086472506252
34,5,0.5348249778712285,-0.5712449206492447
35,197,0.0,0.0
36,61,0.0,0.0
37,6,0.8424697849629359,0.421056272500113
38,5,1.3029708165852232,-0.6218568903549259
39,295,1.0,0.0
40,5,0.401322383196267,-0.0038739205875768542
41,5,-0.24069425943805128,-0.7394806307180298
42,205,0.0,0.0
43,426,0.0,0.0
44,0,-0.1870912693611597,-1.179202352241017
45,5,0.09800120212364083,-0.2108600461000627
46,5,-0.6174188257112961,-0.6739214997295149
47,444,0.0,0.0
48,444,0.0,0.0
49,323,0.0,0.0
50,4,-0.10222041017695967,0.48460158422552874
51,0,0.12858043882788583,1.5265551465222305
52,295,1.0,0.0
53,444,0.0,0.0
54,0,0.7599238552059769,0.17367639714060665
55,0,-1.404682143804621,-1.179202352241017
56,5,-0.1175003973100305,0.5711910606169972
57,444,0.0,0.0
58,444,0.0,0.0
59,444,0.0,0.0
60,323,0.0,0.0
61,5,-1.2459209103224622,-1.156458343126949
62,426,0.0,0.0
63,444,0.0,0.0
64,2,-0.09350223609008587,0.28691549436587294
65,5,-0.4914799755192697,1.0195357716697186
66,79,0.0,0.0
67,0,-1.179202352241017,0.30896427207876903
68,2,0.6103869980590867,-0.09350223609008587
69,406,0.0,0.0
70,406,0.0,0.0
71,406,0.0,0.0
72,4,-0.10222041017695967,-0.10222041017695967
73,2,-0.09350223609008587,-0.09350223609008587
74,4,-0.10222041017695967,-0.10222041017695967
75,5,1.4349105713405323,0.2524618808493318
76,91,0.0,0.0
77,373,0.0,0.0
78,323,0.0,0.0
79,323,0.0,0.0
80,205,0.0,0.0
81,5,-0.552100131633497,-0.14509053281467135
82,0,1.616747063147672,-0.05180339442299732
83,323,0.0,0.0
84,295,0.0,0.0
85,5,-1.504891499572632,-0.34868048696329607
86,0,-1.0890104356155754,1.797130896398555
87,0,-0.5929548941756468,-0.998818518990134
88,2,-0.09350223609008587,-0.09350223609008587
89,22,0.0,1.0
90,5,-0.12201860759056536,-0.3952651384144871
91,2,-0.09350223609008587,-0.09350223609008587
92,293,1.0,0.0
93,0,0.26386831376604825,-0.05180339442299732
94,126,0.0,1.0
95,133,0.0,0.0
96,2,-0.09350223609008587,-0.09350223609008587
97,430,0.0,0.0
98,5,0.046838231164235765,-0.4337650987428587
99,0,0.3991561887042106,1.571651104834951
100,0,-0.09689935273571812,1.797130896398555
101,4,-0.10222041017695967,-0.10222041017695967
102,197,0.0,0.0
103,61,0.0,0.0
104,5,0.40310562361740915,-1.0379630189625002
105,426,0.0,0.0
106,0,-1.5399700187427834,-1.0439144773028548
107,5,-1.2210056354495349,-0.13342934264495376
108,444,0.0,0.0
109,6,-0.8431842648883558,1.2638832974257588
110,205,0.0,0.0
111,66,0.0,0.0
112,5,-0.5788287015414063,1.0146268514092704
113,0,-0.6831468108010884,0.3540602303914898
114,3,-0.1381773235767779,5.627559624657734
115,0,-0.6831468108010884,0.26386831376604825
116,444,0.0,0.0
117,362,0.0,0.0
118,5,-0.017598860907605235,-0.5087413420677434
119,197,0.0,0.0
120,79,0.0,0.0
121,197,0.0,0.0
122,4,-0.10222041017695967,-0.05323353064423019
123,5,1.5513321271500573,-1.282176792817486
124,2,-0.09350223609008587,-0.09350223609008587
125,4,-0.10222041017695967,-0.10222041017695967
126,0,-0.5027629775502053,-0.09689935273571812
127,133,0.0,0.0
128,430,0.0,0.0
129,2,-0.09350223609008587,-0.09350223609008587
130,61,0.0,0.0
131,4,-0.10222041017695967,-0.10222041017695967
132,362,0.0,0.0
133,444,0.0,0.0
134,373,0.0,0.0
135,206,0.0,0.0
136,79,0.0,0.0
137,482,0.0,1.0
138,5,0.36478599097207454,-0.32934535205989857
139,5,2.229654743302465,-1.2599864695993381
140,66,0.0,0.0
141,444,0.0,0.0
142,204,0.0,1.0
143,2,-0.09350223609008587,-0.09350223609008587
144,5,-0.663743003842545,0.3418142477941003
145,5,0.9159375177650373,-0.4337650987428587
146,5,0.6274432795198872,-1.2588143396595985
147,323,0.0,0.0
148,0,-0.6831468108010884,-0.05180339442299732
149,4,-0.10222041017695967,-0.10222041017695967
150,295,1.0,0.0
151,362,0.0,0.0
152,183,1.0,1.0
153,225,0.0,0.0
154,6,-0.8431842648883558,-0.4217707524255329
155,482,0.0,1.0
156,444,0.0,0.0
157,0,0.26386831376604825,-1.2693942688664588
158,0,-1.4948740604300628,-0.23218722767388048
159,61,0.0,0.0
160,126,0.0,1.0
161,0,0.12858043882788583,-1.2693942688664588
162,197,0.0,0.0
163,0,-0.7282427691138093,-1.2693942688664588
164,409,0.0,0.0
165,323,0.0,0.0
166,74,0.0,0.0
167,4,-0.10222041017695967,-0.10222041017695967
168,197,0.0,0.0
169,5,-1.434613794211319,1.109960086508095
170,4,-0.10222041017695967,-0.07160361046900375
171,0,1.165787480020464,-1.2693942688664588
172,0,-0.77333872742653,1.4363632298967888
173,444,0.0,0.0
174,5,-0.374948219459,0.008508580314288026
175,478,0.0,1.0
176,5,-1.159413713487831,-0.7394806307180298
177,197,0.0,0.0
178,7,-0.9296804903249635,-0.9706208870460604
179,295,0.0,0.0
180,444,0.0,0.0
181,5,1.9524410034517319,0.46445710866839734
182,5,-1.3684034799229488,-1.184479261429956
183,0,-0.6831468108010884,0.30896427207876903
184,5,0.4781219397607466,-0.7394806307180298
185,5,0.5393532063563765,0.042269929860635144
186,373,0.0,0.0
187,5,-0.9576370543741883,0.5081164443725458
188,0,0.3991561887042106,-0.998818518990134
189,79,0.0,0.0
190,5,2.118703127211725,-0.4700209812378823
191,197,0.0,0.0
192,5,1.113226021211985,2.043957302592943
193,0,1.2108834383331848,1.7069389797731136
194,5,-0.8580360641101579,-0.4986029189992259
195,0,0.8050198135186977,1.9775147296494384
196,2,-0.09350223609008587,-0.09350223609008587
197,0,-0.41257106092476364,-1.2693942688664588
198,2,-0.09350223609008587,-0.09350223609008587
199,122,0.0,0.0
